L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,5.0,6.8,1.0,100.0,0.0,0.28770693771938327,NaN,0.0,0.0,4.440892098500626e-13,686.9006982021925,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.320369829,0.0
256,5.0,7.2,1.0,100.0,0.0,0.27217519639670024,NaN,0.0,0.0,7.771561172376096e-13,709.2461593122533,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.005826844,0.0
256,5.0,7.6,1.0,100.0,0.0,0.2581916412678332,NaN,0.0,0.0,7.771561172376096e-13,726.5745339612504,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.531294196,0.0
256,5.0,8.0,1.0,100.0,0.0,0.24554781699182493,NaN,0.0,0.0,1.4988010832439613e-12,740.3342293494392,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,42.419797057,0.0
256,10.0,4.0,1.0,100.0,0.0,0.4046966477891144,2.7755575615628914e-17,0.0,0.0,0.9747904085205539,5.84205324764526e-14,0.328458614616758,0.328458614616758,true,126,-0.9646573665132021,0.05,0.05,12.915812817,0.0
256,10.0,4.4,1.0,100.0,0.0,0.403761864591331,1.3877787807814457e-17,0.0,0.0,0.9993096450683359,2.7667969494632297e-14,0.3830979613550174,0.3830979613550174,true,123,-0.8992655002671442,0.05,0.05,11.958941155,0.0
256,10.0,4.8,1.0,100.0,0.0,0.3978743491096982,-2.644835683796032e-9,0.0,0.0,0.7480661332062155,5.392420696751856e-6,0.9644616106539327,0.9644616106539327,true,105,-0.8347256252638268,0.05,0.05,10.925320819,0.0
256,10.0,5.2,1.0,100.0,0.0,0.3698987636744775,NaN,0.0,0.0,6.661338147750939e-13,457.04711505660595,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.520441861,0.0
256,10.0,5.6,1.0,100.0,0.0,0.3460458808166508,NaN,0.0,0.0,3.3306690738754696e-13,555.5197248709733,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.293265424,0.0
256,10.0,6.0,1.0,100.0,0.0,0.324398985465711,NaN,0.0,0.0,8.881784197001252e-13,616.0497180411826,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.250210596,0.0
256,10.0,6.4,1.0,100.0,0.0,0.3050276665798666,NaN,0.0,0.0,5.551115123125783e-13,657.1958273284793,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,41.731497996,0.0
256,10.0,6.8,1.0,100.0,0.0,0.28770693771938327,NaN,0.0,0.0,4.440892098500626e-13,686.9006982021925,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,41.072093899,0.0
256,10.0,7.2,1.0,100.0,0.0,0.27217519639670024,NaN,0.0,0.0,7.771561172376096e-13,709.2461593122533,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,42.094699453,0.0
256,10.0,7.6,1.0,100.0,0.0,0.2581916412678332,NaN,0.0,0.0,7.771561172376096e-13,726.5745339612504,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,40.195209437,0.0
