L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.4052305930846236,-1.3877787807814457e-17,0.0,0.0,0.0,0.5961535021183906,0.19531250000000003,0.1953125,0.1953125,0.1953125,true,11,-1.6212287122694495,0.5,0.5,0.54975338,0.0
128,0.0,0.1,1.0,100.0,0.0,0.40522991672814745,-6.230766066844806e-7,6.465017015017802e-7,0.00024127833750502893,0.0,0.14920479782298823,0.010951975985045152,0.061226473437704376,0.9672472842612314,0.04882812499999999,true,13,-1.6048075520134462,0.5,0.5,0.189026382,0.0
128,0.0,0.2,1.0,100.0,0.0,0.40522915472126764,-7.770437071563663e-12,2.514738907911186e-9,0.0009366457478211201,2.710505431213761e-20,0.00027019015380602696,4.786756721133375e-8,0.00011405543634272297,0.9051130377281571,4.768371582027844e-5,true,23,-1.5883863989407803,0.5,0.5,0.308830363,0.0
128,0.0,0.3,1.0,100.0,0.0,0.40520597133895103,-2.2967738821932926e-14,6.0069684822009264e-12,0.020907962994276982,0.0,0.0022279788537415968,8.396336275546841e-10,1.7368003024252526e-7,0.9492151674174789,2.3283063936372587e-8,true,34,-1.5719656048083215,0.5,0.5,0.454614586,0.0
128,0.0,0.4,1.0,100.0,0.0,0.4049700225386603,-1.458344794924571e-8,9.584097336803204e-7,0.05831254688316875,3.469446951953614e-18,0.030267034414444005,0.0003018404640353353,0.01988451927664353,0.962888403287232,0.006103515624990971,true,16,-1.5557312985948828,0.5,0.5,0.214928555,0.0
128,0.0,0.5,1.0,100.0,0.0,0.40454228953335913,-9.077367243981449e-7,3.1848863186020285e-5,0.08323585666727079,1.734723475976807e-18,0.6077445979031371,0.010805649998835858,0.5054490592849873,0.5109874829475336,0.19531249999998798,true,11,-1.539848360444762,0.5,0.5,0.149166379,0.0
128,0.0,0.6,1.0,100.0,0.0,0.403891044855909,-8.876288375286867e-7,2.7477561350147065e-5,0.10563206478368267,0.0,0.26322904243958334,0.010551234702591632,0.3473410148241308,0.9947263096966863,0.09765624999999846,true,12,-1.524409058798669,0.5,0.5,0.162352857,0.0
128,0.0,0.7,1.0,100.0,0.0,0.40294742128158645,-3.145404687820985e-7,8.118174805473366e-6,0.1273839880431099,0.0,0.0074964914710262676,0.003207472129195907,0.08406380270816786,0.8799817846431024,0.012207031250002588,true,15,-1.5095105622415474,0.5,0.5,0.198903302,0.0
128,0.0,0.8,1.0,100.0,0.0,0.40174009761488316,-3.447290101155076e-7,7.592180502687508e-6,0.14734862870997356,-3.469446951953614e-18,0.039278676023823955,0.0029532794860886095,0.06570995639328792,0.8404631600236745,0.0061035156250114,true,16,-1.4952278237555965,0.5,0.5,0.215063822,0.0
128,0.0,0.9,1.0,100.0,0.0,0.40028285135676706,-6.189051571930948e-7,1.2011347179302374e-5,0.16557950305889163,-6.938893903907228e-18,0.06379733454375813,0.004506093163241124,0.08820440014106512,0.9269088115961277,0.0061035156250277825,true,16,-1.4816138794076243,0.5,0.5,0.215012286,0.0
128,0.0,1.0,1.0,100.0,0.0,0.39858512395699697,-1.069013559007459e-6,1.8731258696535677e-5,0.18227563753509068,0.0,0.0868019154918187,0.006691301564411891,0.11806128475719112,0.9490528908193685,0.006103515625001927,true,16,-1.4687040637201643,0.5,0.5,0.212563787,0.0
128,0.0,1.1,1.0,100.0,0.0,0.39666413707872117,-1.7911193496283895e-6,2.8855228451178053e-5,0.1975587064318956,-1.3877787807814457e-17,0.10717830173945231,0.009722850699023242,0.1575041473186912,0.929944070302946,0.0061035156250151676,true,16,-1.4565200573663821,0.5,0.5,0.212941574,0.0
128,0.0,1.2,1.0,100.0,0.0,0.39453767867980516,-2.9275717663007628e-6,4.3978748222881295e-5,0.21155729235403334,0.0,0.12433339446926706,0.013875183340086621,0.20934747340250576,0.8857480573756793,0.006103515625011649,true,16,-1.4450732493296778,0.5,0.5,0.214437457,0.0
128,0.0,1.3,1.0,100.0,0.0,0.392223248517474,-4.687014548032664e-6,6.639387869785025e-5,0.22439525470888755,1.3877787807814457e-17,0.1380389985283781,0.019496023857358744,0.2771195077484739,0.8274830518260057,0.0061035156250046465,true,16,-1.4343673127912686,0.5,0.5,0.213548644,0.0
128,0.0,1.4,1.0,100.0,0.0,0.38973762266322487,-7.372163477334381e-6,9.937206066617209e-5,0.23618685632943975,-6.938893903907228e-18,0.14830622025696627,0.027020091049862426,0.36519521401883465,0.7625186078791257,0.006103515625013047,true,16,-1.424400159259448,0.5,0.5,0.216892954,0.0
128,0.0,1.5,1.0,100.0,0.0,0.38709665874593363,-1.1418010497893372e-5,0.00014755261100287895,0.24703521591953503,0.0,0.155291556713677,0.036982904886026374,0.4789319661218734,0.6957104200842612,0.006103515625000452,true,16,-1.4151654108558076,0.5,0.5,0.211557344,0.0
128,0.0,1.6,1.0,100.0,0.0,0.3843355561582075,-2.4741556443830248e-5,0.000308418250068194,0.2569635690922407,-1.3877787807814457e-17,0.23717081356322556,0.07087580550072564,0.8858064510353185,0.9853146234274357,0.01220703125002082,true,15,-1.4066535178802078,0.5,0.5,0.19928697,0.0
128,0.0,1.7,1.0,100.0,0.0,0.38140726032323435,-2.6323641031930634e-5,0.00031828187100761945,0.2662599108056972,6.938893903907228e-18,0.1603687371289908,0.06694214222835007,0.8104517678910877,0.5680629935852499,0.006103515624985856,true,16,-1.3988525512505894,0.5,0.5,0.213972595,0.0
128,0.0,1.8,1.0,100.0,0.0,0.37837436423794035,-2.8860232146821208e-5,0.0003399797864514038,0.274820885960283,6.938893903907228e-18,0.10217444549986965,0.06514091634052693,0.7678529773762449,0.31661463259502476,0.0030517578125126726,true,17,-1.3917488543429457,0.5,0.5,0.226773808,0.0
128,0.0,1.9,1.0,100.0,0.0,0.37524601797458673,-3.26095231077822e-5,0.0003757252246885893,0.28272837589425803,2.7755575615628914e-17,0.0617776750172494,0.0652860097216138,0.752441981346005,0.17124438727222913,0.0015258789061704252,true,18,-1.3853275614600629,0.5,0.5,0.239231306,0.0
128,0.0,2.0,1.0,100.0,0.0,0.37203461841512275,-4.963823783686594e-5,0.0005612882931290957,0.29004206577019487,6.938893903907228e-18,0.05767703268344526,0.08802349024824985,0.9955559464714572,0.15019589220832685,0.0015258789062224058,true,18,-1.3795730609550505,0.5,0.5,0.239190956,0.0
128,0.0,2.1,1.0,100.0,0.0,0.36873913815107406,-4.555370104591949e-5,0.000507033175778715,0.2968413194736366,-6.938893903907228e-18,0.019354682688321745,0.07143586144797362,0.7951626930747472,0.04722650525912364,0.00038146972658315747,true,20,-1.3744685892045339,0.5,0.5,0.265242144,0.0
128,0.0,2.2,1.0,100.0,0.0,0.36537851987915443,-5.628427990750362e-5,0.0006182765911895167,0.30315117857446283,2.7755575615628914e-17,0.009756196765464686,0.07782061905490753,0.8548774733499699,0.025073982927614757,0.0001907348632404225,true,21,-1.3699978500965497,0.5,0.5,0.279240487,0.0
128,0.0,2.3,1.0,100.0,0.0,0.361958091191491,-7.158268618263908e-5,0.0007778570889729209,0.30902098879567574,1.3877787807814457e-17,0.004119517378331494,0.08693180053195339,0.9446673679481231,0.014359265440244684,9.536743158296965e-5,true,22,-1.3661438145181206,0.5,0.5,0.292577614,0.0
128,0.0,2.4,1.0,100.0,0.0,0.35848626976986986,-7.741160275157033e-5,0.0008338663630662515,0.31448803609690035,3.469446951953614e-17,0.00013118516450916218,0.08216198777134825,0.8850469202633564,0.0061915620851449304,2.384185784833852e-5,true,24,-1.3628890941631895,0.5,0.5,0.334741673,0.0
128,0.0,2.5,1.0,100.0,0.0,0.3549711987019074,-8.932059505178946e-5,0.0009555376276370719,0.3195841877256223,0.0,0.0012690213107013903,0.0823172173752112,0.8806257826040739,0.004020658546988187,5.960464445893436e-6,true,26,-1.360217025122319,0.5,0.5,0.347908767,0.0
128,0.0,2.6,1.0,100.0,0.0,0.3514202767558158,-0.00010975377737017233,0.0011680089648340164,0.32433890799498466,1.3877787807814457e-17,0.002109552225015854,0.08709587382858477,0.926893136800791,0.0038030895114227192,1.4901160729340965e-6,true,28,-1.358110896943574,0.5,0.5,0.373907258,0.0
128,0.0,2.7,1.0,100.0,0.0,0.34784088641557787,-0.00012520385982145443,0.0013274780602035297,0.32877905133607666,-1.3877787807814457e-17,0.00244196717757994,0.08462864344920332,0.8972899740542677,0.0034701304371109742,1.8626451559379397e-7,true,31,-1.356553429599665,0.5,0.5,0.41368137,0.0
128,0.0,2.8,1.0,100.0,0.0,0.34423930576963935,-0.00015688371525550415,0.0016594337461489188,0.33292789483641966,1.3877787807814457e-17,0.003217225767238041,0.08904185216137184,0.9418548116701632,0.003972702577459408,2.3283070388780324e-8,true,34,-1.3555294118665977,0.5,0.5,0.451849852,0.0
128,0.0,2.9,1.0,100.0,0.0,0.3406219417876819,-0.00019465236491894577,0.002056589242014321,0.33680744716773336,-6.938893903907228e-18,0.004043603470393897,0.09099843504048671,0.9614618157124232,0.004483573402769281,1.4552019849117249e-9,true,38,-1.3550225322000533,0.5,0.5,0.507420437,0.0
128,0.0,3.0,1.0,100.0,0.0,0.33699401526678086,-0.0002505363125128862,0.0026469671432304796,0.34043691363113493,6.938893903907228e-18,0.005316205130778684,0.09391684528813905,0.992284382515125,0.0053930582479821965,4.54511957857625e-11,true,43,-1.3550190466499825,0.5,0.5,0.572504239,0.0
128,0.0,3.1,1.0,100.0,0.0,0.33336023663519265,-0.0003269806036796108,0.0034580407343098047,0.34383387404327787,-1.3877787807814457e-17,0.00691162355648256,0.09448094680488457,0.9992508215637442,0.006500206342741066,3.7607413307011793e-13,true,50,-1.3555062812483274,0.5,0.5,0.66459003,0.0
128,0.0,3.2,1.0,100.0,0.0,0.32972244005880175,-0.00044910897892685986,0.004758747295458056,0.34701231325013276,6.938893903907228e-18,0.009358016119009882,0.09392936783032954,0.9953580978876927,0.00824163047774551,8.731481058694162e-15,true,60,-1.3564803848763598,0.5,0.5,0.80061505,0.0
128,0.0,3.3,1.0,100.0,0.0,0.32607232681237175,-0.0006848289872961044,0.007276637239204962,0.34997729964334934,-6.938893903907228e-18,0.013956845274387675,0.09248458769776534,0.9828669799242413,0.011605172842266143,5.516788715733149e-15,true,75,-1.357972605289224,0.5,0.5,0.999659698,0.0
128,0.0,3.4,1.0,100.0,0.0,0.32230500326585937,-0.0013856251071594355,0.014777881103386547,0.3526584857656786,-6.938893903907228e-18,0.028442410723861222,0.09355387235208348,0.9984141273139332,0.02253920915085139,1.2405698765667182e-14,true,94,-1.3603602968533646,0.5,0.5,1.251134435,0.0
128,0.0,3.5,1.0,100.0,0.0,0.3171067209376593,-0.004068906366262934,0.043675738147661174,0.3540621623451188,6.938893903907228e-18,0.08210274667819206,0.09177470288256225,0.9903575543264292,0.06459582155804444,1.397361358740588e-14,true,80,-1.3685379541343607,0.5,0.5,1.077268069,0.0
128,0.0,3.6,1.0,100.0,0.0,0.30953577310242,-0.007223772201643455,0.07834755114590955,0.3534356223624072,6.938893903907228e-18,0.1415034426295314,0.08821502201249165,0.9734635684545689,0.11794734878489699,1.4215982510034865e-12,true,48,-1.3869312175763528,0.5,0.5,0.638977626,0.0
128,0.0,3.7,1.0,100.0,0.0,0.30180668721293197,-0.00939147038761165,0.10299876000619192,0.35242846480496115,2.7755575615628914e-17,0.18139258070914988,0.08612006321098015,0.9739712817547763,0.16205448595374428,1.8626446925427764e-7,true,31,-1.4079480533873725,0.5,0.5,0.414337663,0.0
128,0.0,3.8,1.0,100.0,0.0,0.2943845535428309,-0.010981435201765102,0.1217944955575245,0.35141096904083313,6.938893903907228e-18,0.19494549904741643,0.07991311372389232,0.9263797662007467,0.19671868775716916,0.0007629394531118138,true,19,-1.4297659886506762,0.5,0.5,0.254259774,0.0
128,0.0,3.9,1.0,100.0,0.0,0.2876324557182822,-0.012100879348020219,0.13564597082984292,0.3507547766511151,6.938893903907228e-18,0.39315642919091065,0.00920741311871004,0.09986762496871915,0.7659217119717621,0.09765625000000294,true,12,-1.450637317913894,0.5,0.5,0.159032303,0.0
128,0.0,4.0,1.0,100.0,0.0,0.2812102972440794,-0.012994690264349781,0.14720570832738972,0.3501939785898523,0.0,0.30075011941788077,0.0719721934847907,0.8666489043256953,0.03480513750686587,0.024414062500010034,true,14,-1.4717523805506323,0.5,0.5,0.187253205,0.0
128,0.5,0.0,1.0,100.0,0.0,0.4052305930846236,-1.3877787807814457e-17,0.0,2.5849394142282115e-26,-2.487641858253084e-10,0.5972687355728645,0.1953124999999966,0.1953125,0.1953125,1.1751041146306557e-6,true,11,-1.6212287122694495,0.5,0.5,0.146507335,0.0
128,0.5,0.1,1.0,100.0,0.0,0.4052299174268843,-6.373789444985567e-7,6.459740958793819e-7,0.0002082910470588976,-4.171279156637989e-12,0.14943949069035067,0.011203947535108725,0.061176918974783986,0.8350042892565359,1.9554379795590508e-8,true,13,-1.6048075530028436,0.5,0.5,0.174853131,0.0
128,0.5,0.2,1.0,100.0,0.0,0.40522914854043557,-2.2691570844557418e-11,4.815840778486181e-9,0.0010036519453137161,-1.6263032587282567e-19,0.0004347553665962067,1.636975549349854e-7,0.00021842133163560483,0.9699059030362656,6.449791933871974e-16,true,22,-1.5883863904709168,0.5,0.5,0.293097512,0.0
128,0.5,0.3,1.0,100.0,0.0,0.4052058138667912,-4.299338662860919e-14,1.1259639542352678e-11,0.020976505393023297,4.336808689942018e-19,0.0022767291314451654,1.5804737227758831e-9,3.255517676285583e-7,0.9655968701603109,3.004652068727968e-16,true,33,-1.5719655871753513,0.5,0.5,0.445316514,0.0
128,0.5,0.4,1.0,100.0,0.0,0.40496976821066394,-2.786497937945498e-8,1.75875161531505e-6,0.05833397375167841,-6.772274303845638e-10,0.049270330134798535,0.00054658380035765,0.03648927122480388,0.9881103390723955,4.213384775584186e-6,true,15,-1.5557312933033687,0.5,0.5,0.199754906,0.0
128,0.5,0.5,1.0,100.0,0.0,0.40454749854424554,-9.049599161981003e-7,3.18015864170804e-5,0.08300797680943184,-3.138718053380396e-7,0.6007244883428076,0.010744754293606664,0.5046707941889973,0.16034522432489817,0.0022444259171614713,true,11,-1.5398483811671035,0.5,0.5,0.147113614,0.0
128,0.5,0.6,1.0,100.0,0.0,0.40388959826187193,-4.96681121175957e-7,1.559474635473763e-5,0.1056725330025945,-5.6159900337776625e-8,0.11663809550743753,0.006036363631503009,0.19713290598519642,0.9284027293620101,0.0004457613677802573,true,13,-1.5244090712097915,0.5,0.5,0.172136304,0.0
128,0.5,0.7,1.0,100.0,0.0,0.40294925762317635,-3.143137288774689e-7,8.108849080912294e-6,0.12734841533893787,-1.070023826835187e-8,0.011041935698341554,0.003201333188060594,0.08396557687663699,0.9522872015685357,9.300560692016747e-5,true,15,-1.509510550948327,0.5,0.5,0.200967351,0.0
