L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,5.0,4.4,1.0,100.0,0.15,0.26409508970219014,0.35237332406714095,0.4364997574405338,0.9845434216038118,true,137,-1.753425383364287,0.05,0.05,257.339693219,0.7039876284536264
256,5.0,4.8,1.0,100.0,0.15,0.2512799407353384,0.35877383761865955,0.3991461782349992,0.9717703348117723,true,135,-1.7827964465910588,0.05,0.05,255.086801008,0.7121614738036975
256,5.0,5.2,1.0,100.0,0.15,0.2392308440211117,0.36394700270289315,0.36847992942545815,0.9845594320865292,true,133,-1.8165388632012895,0.05,0.05,251.783126758,0.7206743631447957
256,5.0,5.6,1.0,100.0,0.15,0.22794587782698122,0.3681739549992026,0.32779751745320995,0.9671513764905049,true,132,-1.8541835888168405,0.05,0.05,247.325337516,0.7296598714016823
256,5.0,6.0,1.0,100.0,0.15,0.21740258780929134,0.37166342105072525,0.2955134496663292,0.9645386883210261,true,131,-1.8952433410474143,0.05,0.05,246.748169801,0.7390957197640008
256,5.0,6.4,1.0,100.0,0.15,0.20756602159292875,0.3745720966113299,0.27012765959705254,0.9729861719547372,true,130,-1.9393179331404995,0.05,0.05,244.93429893,0.7489846982744996
256,5.0,6.8,1.0,100.0,0.15,0.19839451834231045,0.3770187718673016,0.25023764238557566,0.9899938943539466,true,129,-1.9860574565309723,0.05,0.05,242.585572904,0.7593147190302814
256,5.0,7.2,1.0,100.0,0.15,0.18984298373240063,0.3790945437156825,0.22296749373573732,0.9632094138292135,true,129,-2.035186522932842,0.05,0.05,241.797642809,0.7701105959904475
256,5.0,7.6,1.0,100.0,0.15,0.18186588734438583,0.3808698574012788,0.21139644968054538,0.9914145871130486,true,128,-2.0863700855123266,0.05,0.05,241.397952678,0.7812398425533246
256,5.0,8.0,1.0,100.0,0.15,0.17441891751009683,0.38239967299124134,0.19226747766393215,0.9732042215201409,true,128,-2.1394413970340027,0.05,0.05,239.921414451,0.7927740575388957
