L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
128,1.5,2.2,1.0,100.0,0.0,0.4051888875724009,0.5948799063701937,true,11,-0.810801961371468,0.5,0.5,0.045454722,0.0
128,1.5,2.3,1.0,100.0,0.0,0.40518380607207394,0.5946670628395045,true,11,-0.810802873487677,0.5,0.5,0.057765906,0.0
128,1.5,2.4,1.0,100.0,0.0,0.4051780568135678,0.5944157545095807,true,11,-0.8108034400076751,0.5,0.5,0.057515722,0.0
128,1.5,2.5,1.0,100.0,0.0,0.4051715272508214,0.5941178736890151,true,11,-0.8108035547914887,0.5,0.5,0.05644946,0.0
128,1.5,2.6,1.0,100.0,0.0,0.4051640815657541,0.5937633049688529,true,11,-0.8108030828957917,0.5,0.5,0.045038138,0.0
128,1.5,2.7,1.0,100.0,0.0,0.4051555547951131,0.5933393322707925,true,11,-0.8108018521951835,0.5,0.5,0.044943799,0.0
128,1.5,2.8,1.0,100.0,0.0,0.4051457451324613,0.5928298342341431,true,11,-0.8107996422184274,0.5,0.5,0.058146406,0.0
128,1.5,2.9,1.0,100.0,0.0,0.4051344037081456,0.592214176895367,true,11,-0.8107961691019232,0.5,0.5,0.056785872,0.0
128,1.5,3.0,1.0,100.0,0.0,0.40512122082882884,0.5914656663749129,true,11,-0.8107910650446359,0.5,0.5,0.056397422,0.0
128,1.5,3.1,1.0,100.0,0.0,0.40510580716303357,0.5905493509490434,true,11,-0.8107838498421917,0.5,0.5,0.05612779,0.0
128,1.5,3.2,1.0,100.0,0.0,0.40508766758196735,0.5894188435402459,true,11,-0.8107738907976141,0.5,0.5,0.044831686,0.0
128,1.5,3.3,1.0,100.0,0.0,0.4050661641211005,0.5880116410574843,true,11,-0.8107603452319446,0.5,0.5,0.058715317,0.0
128,1.5,3.4,1.0,100.0,0.0,0.4050404624954077,0.5862420906681542,true,11,-0.8107420763837918,0.5,0.5,0.057282396,0.0
128,1.5,3.5,1.0,100.0,0.0,0.4050094532034747,0.5839905940614454,true,11,-0.8107175276677757,0.5,0.5,0.056848976,0.0
128,1.5,3.6,1.0,100.0,0.0,0.40497163243241396,0.5810866611166698,true,11,-0.8106845301508563,0.5,0.5,0.055468836,0.0
128,1.5,3.7,1.0,100.0,0.0,0.40492491771466366,0.5772816654444624,true,11,-0.8106400000456447,0.5,0.5,0.044470188,0.0
128,1.5,3.8,1.0,100.0,0.0,0.4048663546386135,0.5722039141574653,true,11,-0.810579449757837,0.5,0.5,0.045085131,0.0
128,1.5,3.9,1.0,100.0,0.0,0.4047916358291942,0.5652825225308522,true,11,-0.8104961726353838,0.5,0.5,0.059851709,0.0
128,1.5,4.0,1.0,100.0,0.0,0.4046942848542031,0.5556147660272792,true,11,-0.8103798361131724,0.5,0.5,0.057342465,0.0
128,2.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.5961535021183906,true,11,-0.8107675261002024,0.5,0.5,0.055949096,0.0
128,2.0,0.1,1.0,100.0,0.0,0.4052299198554523,0.5961430036613979,true,11,-0.8107688459863638,0.5,0.5,0.055482068,0.0
128,2.0,0.2,1.0,100.0,0.0,0.40522919752542697,0.596131170404357,true,11,-0.8107702036604596,0.5,0.5,0.055914618,0.0
128,2.0,0.3,1.0,100.0,0.0,0.40522842132091597,0.5961178217955831,true,11,-0.8107715997586077,0.5,0.5,0.056586022,0.0
128,2.0,0.4,1.0,100.0,0.0,0.40522758588806085,0.5961027495134941,true,11,-0.8107730347542247,0.5,0.5,0.055850631,0.0
128,2.0,0.5,1.0,100.0,0.0,0.40522668520886407,0.5960857126457997,true,11,-0.810774508907473,0.5,0.5,0.045117491,0.0
128,2.0,0.6,1.0,100.0,0.0,0.4052257125033503,0.5960664319422104,true,11,-0.8107760222024092,0.5,0.5,0.045124579,0.0
128,2.0,0.7,1.0,100.0,0.0,0.4052246601152055,0.5960445829411576,true,11,-0.8107775742688887,0.5,0.5,0.05686799,0.0
128,2.0,0.8,1.0,100.0,0.0,0.40522351937776047,0.5960197877330486,true,11,-0.8107791642855815,0.5,0.5,0.057089617,0.0
128,2.0,0.9,1.0,100.0,0.0,0.4052222804565214,0.5959916050566338,true,11,-0.8107807908595159,0.5,0.5,0.165051488,0.0
128,2.0,1.0,1.0,100.0,0.0,0.40522093216363364,0.5959595183653299,true,11,-0.8107824518764642,0.5,0.5,0.648512119,0.0
128,2.0,1.1,1.0,100.0,0.0,0.4052194617386389,0.5959229213945427,true,11,-0.8107841443150067,0.5,0.5,0.047645331,0.0
128,2.0,1.2,1.0,100.0,0.0,0.40521785458861853,0.5958811006606668,true,11,-0.8107858640153021,0.5,0.5,0.045517759,0.0
128,2.0,1.3,1.0,100.0,0.0,0.4052160939792101,0.5958332141589029,true,11,-0.8107876053912537,0.5,0.5,0.056982406,0.0
128,2.0,1.4,1.0,100.0,0.0,0.4052141606659613,0.5957782653487342,true,11,-0.8107893610717688,0.5,0.5,0.094765038,0.0
128,2.0,1.5,1.0,100.0,0.0,0.4052120324529087,0.5957150712545545,true,11,-0.8107911214529823,0.5,0.5,0.045438556,0.0
128,2.0,1.6,1.0,100.0,0.0,0.4052096836619635,0.5956422231885306,true,11,-0.8107928741383426,0.5,0.5,0.048774677,0.0
128,2.0,1.7,1.0,100.0,0.0,0.40520708449241916,0.5955580381682424,true,11,-0.8107946032369977,0.5,0.5,0.058651149,0.0
128,2.0,1.8,1.0,100.0,0.0,0.4052042002443347,0.5954604985219936,true,11,-0.8107962884824506,0.5,0.5,0.058617664,0.0
128,2.0,1.9,1.0,100.0,0.0,0.40520099037223994,0.5953471764025275,true,11,-0.8107979041222684,0.5,0.5,0.088577013,0.0
128,2.0,2.0,1.0,100.0,0.0,0.4051974073259115,0.5952151388668447,true,11,-0.8107994175147083,0.5,0.5,0.10305152,0.0
128,2.0,2.1,1.0,100.0,0.0,0.4051933951219652,0.595060827728644,true,11,-0.8108007873480905,0.5,0.5,0.061056289,0.0
128,2.0,2.2,1.0,100.0,0.0,0.4051888875724009,0.5948799063701937,true,11,-0.810801961371468,0.5,0.5,0.097318972,0.0
128,2.0,2.3,1.0,100.0,0.0,0.40518380607207394,0.5946670628395045,true,11,-0.810802873487677,0.5,0.5,0.112288174,0.0
128,2.0,2.4,1.0,100.0,0.0,0.4051780568135678,0.5944157545095807,true,11,-0.8108034400076751,0.5,0.5,0.120067013,0.0
128,2.0,2.5,1.0,100.0,0.0,0.4051715272508214,0.5941178736890151,true,11,-0.8108035547914887,0.5,0.5,0.049246004,0.0
128,2.0,2.6,1.0,100.0,0.0,0.4051640815657541,0.5937633049688529,true,11,-0.8108030828957917,0.5,0.5,0.058876812,0.0
128,2.0,2.7,1.0,100.0,0.0,0.4051555547951131,0.5933393322707925,true,11,-0.8108018521951835,0.5,0.5,0.044493002,0.0
