L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,5.0,6.8,1.0,100.0,0.0,0.2918909617124552,-4.864860320835662e-7,0.0,0.0,0.48090743304052275,0.0009795043061133842,0.0,0.0,true,14,-0.5980718091897753,0.025,0.05,0.99911485,0.0
256,5.0,7.2,1.0,100.0,0.0,0.274610702541782,NaN,0.0,0.0,0.0,634.6201191640665,0.0,0.0,false,800,NaN,0.025,0.05,69.914737914,0.0
256,5.0,7.6,1.0,100.0,0.0,0.2603447713990019,NaN,0.0,0.0,1.1102230246251565e-13,659.402185427342,0.0,0.0,false,800,NaN,0.025,0.05,69.369072711,0.0
256,5.0,8.0,1.0,100.0,0.0,0.24747328120390835,NaN,0.0,0.0,1.0547118733938987e-12,679.1150159285256,0.0,0.0,false,800,NaN,0.025,0.05,69.495459129,0.0
256,10.0,4.0,1.0,100.0,0.0,0.4046966477891144,2.7755575615628914e-17,0.0,0.0,0.9747904085205539,5.84205324764526e-14,0.328458614616758,0.328458614616758,true,126,-0.9646573665132021,0.05,0.05,12.915812817,0.0
256,10.0,4.4,1.0,100.0,0.0,0.403761864591331,1.3877787807814457e-17,0.0,0.0,0.9993096450683359,2.7667969494632297e-14,0.3830979613550174,0.3830979613550174,true,123,-0.8992655002671442,0.05,0.05,11.958941155,0.0
256,10.0,4.8,1.0,100.0,0.0,0.3978743491096982,-2.644835683796032e-9,0.0,0.0,0.7480661332062155,5.392420696751856e-6,0.9644616106539327,0.9644616106539327,true,105,-0.8347256252638268,0.05,0.05,10.925320819,0.0
256,10.0,5.2,1.0,100.0,0.0,0.3761983263662264,2.2856623540512544e-6,0.0,0.0,0.9330880779232498,0.004625147087773513,0.0,0.0,true,17,-0.7744717949074527,0.025,0.05,1.498088733,0.0
256,10.0,5.6,1.0,100.0,0.0,0.35239096015310317,2.407428329631589e-6,0.0,0.0,0.7273026249894343,0.004860364796747469,0.0,0.0,true,18,-0.72139581383589,0.025,0.05,1.608872558,0.0
256,10.0,6.0,1.0,100.0,0.0,0.32978052542439174,-3.6364165524604974e-7,0.0,0.0,0.4493523287747436,0.0007332399079244656,0.0,0.0,true,14,-0.6749725814587396,0.025,0.05,1.067430677,0.0
256,10.0,6.4,1.0,100.0,0.0,0.309176549237827,-4.774378886684971e-8,0.0,0.0,0.6862310431594576,9.618840763388886e-5,0.0,0.0,true,11,-0.6341881181799409,0.025,0.05,1.013322072,0.0
