L,U,V,t,β,δ,uS,wd,QuS,Qwd,I,f,g,g0,ΔT,μ
128,0.5,0.2,1.0,100.0,0.0,0.8104550680572138,0.001009199345974177,0.0004291052349003621,0.896784620442374,24,-1.621228122375486,0.5,0.5,0.326160521,0.0
128,0.5,0.3,1.0,100.0,0.0,0.8103592298339439,0.02881769720021897,0.007132253534436472,0.9768649344595661,28,-1.6212110502893409,0.5,0.5,0.362659616,0.0
128,0.5,0.4,1.0,100.0,0.0,0.8096950020543321,0.06709404827032077,0.19891118845904998,0.8347105496219198,14,-1.621267579770135,0.5,0.5,0.19014506,0.0
128,0.5,0.5,1.0,100.0,0.0,0.8084340704440076,0.09559927702001664,0.6429507413456825,0.8300531796808786,12,-1.6214745810479028,0.5,0.5,0.166478435,0.0
128,0.5,0.6,1.0,100.0,0.0,0.8062597475255286,0.12372729600450538,0.03418781060915421,0.8045430217783478,16,-1.621727588306927,0.5,0.5,0.204883433,0.0
128,0.5,0.7,1.0,100.0,0.0,0.8030855700580541,0.15010086560290054,0.0904760046873676,0.7798572684948324,17,-1.6219586067908616,0.5,0.5,0.223337032,0.0
128,0.5,0.8,1.0,100.0,0.0,0.7988447491093824,0.17450284292227758,0.1435080376319675,0.820327534084897,17,-1.6220628556144097,0.5,0.5,0.230523962,0.0
128,0.5,0.9,1.0,100.0,0.0,0.7934919958684488,0.19696063676164655,0.18801325567840976,0.7768671748929479,17,-1.6219079992627643,0.5,0.5,0.221874047,0.0
128,0.5,1.0,1.0,100.0,0.0,0.7870206523357743,0.21751221277088442,0.21896539840726703,0.6875726790957493,17,-1.6213610460727614,0.5,0.5,0.216996439,0.0
128,0.5,1.1,1.0,100.0,0.0,0.7794778829233173,0.2361780370790587,0.3456569299584711,0.8875371500978169,16,-1.6203208879174835,0.5,0.5,0.216531445,0.0
128,0.5,1.2,1.0,100.0,0.0,0.7708362208694512,0.25321883035348114,0.35617951466671016,0.7384321681840333,16,-1.618622394455432,0.5,0.5,0.210747691,0.0
128,0.5,1.3,1.0,100.0,0.0,0.7612208917372326,0.26860344773508515,0.5385936483142117,0.9664678085585798,15,-1.6162396324144024,0.5,0.5,0.191676351,0.0
128,0.5,1.4,1.0,100.0,0.0,0.7506214458460652,0.28257207905276116,0.5111661418932822,0.7779900140887364,15,-1.6130339633395006,0.5,0.5,0.19977562,0.0
128,0.5,1.5,1.0,100.0,0.0,0.7391711395008005,0.29515626025007435,0.46078214855338473,0.610823612665401,15,-1.6090231578050866,0.5,0.5,0.194238761,0.0
128,0.5,1.6,1.0,100.0,0.0,0.7270003998108376,0.30643850439292175,0.6777600020715369,0.8439079800022231,14,-1.604253009401287,0.5,0.5,0.176386506,0.0
128,0.5,1.7,1.0,100.0,0.0,0.7141532265589543,0.3165823609373536,0.5777470149279651,0.6643975370542732,14,-1.598692740777505,0.5,0.5,0.185259358,0.0
128,0.5,1.8,1.0,100.0,0.0,0.7008095576697209,0.3256349851931928,0.8584039965664481,0.9881199552375097,13,-1.5924925481106598,0.5,0.5,0.171489254,0.0
128,0.5,1.9,1.0,100.0,0.0,0.6870331012833752,0.33372996079217904,0.7051910332727118,0.8023221552317938,13,-1.5856847362916617,0.5,0.5,0.166847262,0.0
128,0.5,2.0,1.0,100.0,0.0,0.6729759805927642,0.3409359739758544,0.5653768923266078,0.6610225574470441,13,-1.5784313314011604,0.5,0.5,0.166191948,0.0
128,0.5,2.1,1.0,100.0,0.0,0.6587477698986715,0.3473429073706119,0.4477544906096309,0.5569968802028313,13,-1.570859102274074,0.5,0.5,0.174930642,0.0
128,0.5,2.2,1.0,100.0,0.0,0.6444519226700812,0.3530337880031501,0.7010810227743303,0.9605134318688702,12,-1.5631007665048462,0.5,0.5,0.156237271,0.0
128,0.5,2.3,1.0,100.0,0.0,0.6301739000081599,0.3580883281958953,0.5670035121545514,0.8548720744029348,12,-1.5552750955174222,0.5,0.5,0.151455601,0.0
128,0.5,2.4,1.0,100.0,0.0,0.6159989918396946,0.36257560578547576,0.46475522438749195,0.7766151452113235,12,-1.5475091599601845,0.5,0.5,0.151020577,0.0
128,0.5,2.5,1.0,100.0,0.0,0.6019952682759019,0.36656050244014293,0.3875394609220706,0.7176076313012425,12,-1.5399116526373913,0.5,0.5,0.159194204,0.0
128,0.5,2.6,1.0,100.0,0.0,0.5882195153101684,0.3701014565443683,0.3286249934255636,0.67195878359394,12,-1.5325788883805713,0.5,0.5,0.157237611,0.0
128,0.5,2.7,1.0,100.0,0.0,0.574717518055096,0.3732508296209188,0.2827433898318077,0.6356954025802386,12,-1.525593388486715,0.5,0.5,0.152610517,0.0
128,0.5,2.8,1.0,100.0,0.0,0.5615248339492543,0.3760552782159864,0.24624300831033175,0.6062188048481243,12,-1.5190235800890661,0.5,0.5,0.153426734,0.0
128,0.5,2.9,1.0,100.0,0.0,0.5486678971801188,0.37855615130412434,0.21669177731786782,0.5818626065110521,12,-1.5129243704576103,0.5,0.5,0.16206476,0.0
128,0.5,3.0,1.0,100.0,0.0,0.5361652469184041,0.38078992365636194,0.19248411052563696,0.5616873977331016,12,-1.5073382416778924,0.5,0.5,0.156183687,0.0
128,0.5,3.1,1.0,100.0,0.0,0.5240287412626149,0.38278865226476233,0.1726027896842286,0.5454802470844511,12,-1.5022965941423803,0.5,0.5,0.151701196,0.0
128,0.5,3.2,1.0,100.0,0.0,0.5122647047915101,0.38458043232592626,0.15642013008188016,0.5338097735156921,12,-1.4978211983417722,0.5,0.5,0.153200038,0.0
128,0.5,3.3,1.0,100.0,0.0,0.5008751469087467,0.3861898133278333,0.14289593885030705,0.5278687970194929,12,-1.4939259318987559,0.5,0.5,0.161905212,0.0
128,0.5,3.4,1.0,100.0,0.0,0.48985985394522635,0.38763807171657183,0.12656995141901994,0.5286495294405391,12,-1.4906201115513715,0.5,0.5,0.156712629,0.0
128,0.5,3.5,1.0,100.0,0.0,0.47922128246006196,0.38894315936460516,0.0847435157743659,0.5348776170831515,12,-1.487916696500325,0.5,0.5,0.15152588,0.0
128,0.5,3.6,1.0,100.0,0.0,0.46897432240242887,0.3901192295290833,0.049205284303299734,0.5395802045653486,12,-1.4858490432662461,0.5,0.5,0.153806035,0.0
128,0.5,3.7,1.0,100.0,0.0,0.4591617367228922,0.3911758324747223,0.42702795617644007,0.526044445388063,12,-1.4844979600255641,0.5,0.5,0.162617076,0.0
128,0.5,3.8,1.0,100.0,0.0,0.44913780067383857,0.39218928701382205,0.8101856136526475,0.3776348960731202,13,-1.4827692044329526,0.5,0.5,0.16805374,0.0
128,0.5,3.9,1.0,100.0,0.0,0.43989612439952797,0.39306817177899545,0.6914774056191453,0.14153387134308026,15,-1.4823587672109522,0.5,0.5,0.189547284,0.0
